靜態區隔 (39),ROS Baseline,腳本編號 (Primary／Secondary),主要腳本範例,Tempo T,Value V,信件接觸顧客的次數,折扣百分比,KPI 追蹤
A3N 王者休眠‑N,R + S‑Median,R‑01／S‑M‑02,48 h 無互動→客服致電；季度滿額禮,T2,V1,2,8,7 日回購率
B3N 成長停滯‑N,R + S‑Low,R‑02／S‑L‑02,首購加碼券 72 h；價格敏感 85 折,T2,V2,2,10,24 h 轉換率
C3N 清倉邊緣‑N,R + S‑Low,R‑03／S‑L‑04,取消後續推播，只留月報 EDM,T3,V3,1,15,開信率
A1C 王者引擊‑C,S‑High + O,S‑H‑01／O‑01,VIP 社群＋搶先購；豪華組 24 h 加購,T1,V1,4, 8,24 h 轉換率
A2C 王者穩健‑C,S‑High + O,S‑H‑02／O‑02,階梯折扣券＋新品早鳥,T1,V1,4, 8,首批銷售額
A3C 王者休眠‑C,S‑High + R,S‑H‑03／R‑04,深度訪談＋專屬客服；動態折 3‑7 %,T2,V1,2, 8,90 日續購率
B1C 成長火箭‑C,S‑High + O,S‑H‑01／O‑03,訂閱制試用＋個性化推薦,T1,V2,4,10,訂閱開通率
B2C 成長常規‑C,S‑Median + O,S‑M‑01／O‑04,點數倍數日／會員日,T2,V2,2,10,升級轉換率
B3C 成長停滯‑C,S‑Low + R,S‑L‑01／R‑02,再購提醒＋小樣包；無風險試用,T3,V2,1,10,7 日回購率
C1C 潛力新芽‑C,S‑Median + O,S‑M‑02／O‑05,引導升級高單價品＋直播秒殺,T2,V3,2,12,直播成交率
C2C 潛力維持‑C,S‑Low + O,S‑L‑03／O‑06,補貨提醒＋省運方案,T3,V3,1,12,補貨轉換率
C3C 清倉邊緣‑C,S‑Low + R,S‑L‑04／R‑03,低成本關懷；避免過度促銷,T3,V3,1,15,Re‑Act Rate
A1D 王者引擊‑D,R + S‑Low,R‑01／S‑L‑02,8 折 VIP 醒券,T3,V1,1, 8,7 日回購率
A2D 王者穩健‑D,R + S‑Low,R‑01／S‑L‑01,致電關懷＋NPS 調查,T3,V1,1, 8,NPS
A3D 王者休眠‑D,R + S‑Low,R‑02／S‑L‑03,Win‑Back 套餐＋VIP 續會,T3,V1,1, 8,90 日續購率
B1D 成長火箭‑D,R + S‑Low,R‑04／S‑L‑02,小遊戲抽獎＋回購券,T3,V2,1,10,促銷 ROI
B2D 成長常規‑D,R + S‑Low,R‑03／S‑L‑01,品類換血建議＋搭售優惠,T3,V2,1,10,搭售轉換率
B3D 成長停滯‑D,R + S‑Low,R‑02／S‑L‑02,Push+SMS 雙管,T3,V2,1,10,點擊率
C1D 潛力新芽‑D,R + S‑Median,R‑04／S‑M‑03,低價快購推薦,T3,V3,1,12,7 日轉換
C2D 潛力維持‑D,R + S‑Low,R‑03／S‑L‑01,簡訊喚醒＋滿額贈,T3,V3,1,12,滿額兌換率
C3D 清倉邊緣‑D,R + S‑Low,R‑02／S‑L‑04,清庫存閃購一天,T3,V3,1,15,Re‑Act Rate
A1H 王者引擊‑H,R + S‑Low,R‑01／S‑L‑02,專屬客服＋差異化補貼,T3,V1,1, 8,7 日回購率
A2H 王者穩健‑H,R + S‑Low,R‑01／S‑L‑03,問卷→優惠兩步式,T3,V1,1, 8,回收率
A3H 王者休眠‑H,R + S‑Low,R‑04／S‑L‑02,VIP 醒券＋滿額升等,T3,V1,1, 8,Upsell rate
B1H 成長火箭‑H,R + S‑Low,R‑02／S‑L‑02,會員日兌換券,T3,V2,1,10,兌換率
B2H 成長常規‑H,R + S‑Low,R‑03／S‑L‑01,價格敏感試用,T3,V2,1,10,試用兌現率
B3H 成長停滯‑H,R + S‑Low,R‑02／S‑L‑02,再購提醒＋小樣包,T3,V2,1,10,7 日回購率
C1H 潛力新芽‑H,R + S‑Low,R‑04／S‑L‑03,爆款低價促,T3,V3,1,12,促銷 ROI
C2H 潛力維持‑H,R + S‑Low,R‑03／S‑L‑01,免運券＋再購提醒,T3,V3,1,12,再購率
C3H 清倉邊緣‑H,R + S‑Low,R‑02／S‑L‑04,月度 EDM；不再 Push,T3,V3,1,15,開信率
A1S 王者引擊‑S,R + S‑Low,R‑01／S‑L‑02,客服電話＋專屬復活禮盒,T3,V1,1, 8,90 d 回購
A2S 王者穩健‑S,R + S‑Low,R‑01／S‑L‑03,高值客流失調查＋買一送一,T3,V1,1, 8,流失回收率
A3S 王者休眠‑S,R + S‑Low,R‑04／S‑L‑04,只做客情維繫，勿頻促,T3,V1,1, 8,NPS
B1S 成長火箭‑S,R + S‑Low,R‑02／S‑L‑02,不定期驚喜包,T3,V2,1,10,Re‑Act
B2S 成長常規‑S,R + S‑Low,R‑03／S‑L‑01,庫存清倉先行名單,T3,V2,1,10,促銷 ROI
B3S 成長停滯‑S,R + S‑Low,R‑02／S‑L‑02,定向廣告 retarget + SMS,T3,V2,1,10,點擊率
C1S 潛力新芽‑S,R + S‑Low,R‑04／S‑L‑03,簡訊一次＋退訂選項,T3,V3,1,12,退訂率
C2S 潛力維持‑S,R + S‑Low,R‑03／S‑L‑01,只保留月報 EDM,T3,V3,1,12,開信率
C3S 清倉邊緣‑S,R + S‑Low,R‑02／S‑L‑04,名單除重／不再接觸,T3,V3,1,15,名單縮減幅
